prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
toronto_childhood_cancer_staging,Renal tumor (excluding renal cell carcinomas) Stage y-II,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Renal tumor (excluding renal cell carcinomas) Stage y-III,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Retinoblastoma Stage 0,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Retinoblastoma Stage I,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Retinoblastoma Stage II,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Retinoblastoma Stage III,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Retinoblastoma Stage IV,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Rhabdomyosarcoma Stage I,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Rhabdomyosarcoma Stage II,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Rhabdomyosarcoma Stage III,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Rhabdomyosarcoma Stage IV,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage I,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IA,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IB,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage II,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IIA,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IIB,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IIC,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage III,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IIIA,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IIIB,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IIIC,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Testicular germ cell tumor Stage IS,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
toronto_childhood_cancer_staging,Not Reported,,Cancer stage as captured by the Toronto Childhood Cancer Stage Guidelines.,,,
laterality,Bilateral,,Designates the side of the body where disease is found.,,,
laterality,Left,,Designates the side of the body where disease is found.,,,
laterality,Midline,,Designates the side of the body where disease is found.,,,
laterality,Not Applicable,,Designates the side of the body where disease is found.,,,
laterality,Not Reported,,Designates the side of the body where disease is found.,,,
laterality,Not Specified,,Designates the side of the body where disease is found.,,,
laterality,Right,,Designates the side of the body where disease is found.,,,
laterality,Unknown,,Designates the side of the body where disease is found.,,,
sex_at_birth,Female,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Intersex,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Male,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Not Reported,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Unknown,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Don't know,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Decline to answer,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,None of these describe me,,"""A textual description of a person's sex at birth.""",,,
sex_at_birth,Prefer not to answer,,"""A textual description of a person's sex at birth.""",,,
file_type,bam,,Text that provides a description of a particular kind of set of related records.,,,
file_type,bam_index,,Text that provides a description of a particular kind of set of related records.,,,
file_type,bai,,Text that provides a description of a particular kind of set of related records.,,,
file_type,bcf,,Text that provides a description of a particular kind of set of related records.,,,
file_type,bed,,Text that provides a description of a particular kind of set of related records.,,,
file_type,bif,,Text that provides a description of a particular kind of set of related records.,,,
file_type,bw,,Text that provides a description of a particular kind of set of related records.,,,
file_type,cns,,Text that provides a description of a particular kind of set of related records.,,,
file_type,cram,,Text that provides a description of a particular kind of set of related records.,,,
file_type,cram_index,,Text that provides a description of a particular kind of set of related records.,,,
file_type,crai,,Text that provides a description of a particular kind of set of related records.,,,
file_type,csi,,Text that provides a description of a particular kind of set of related records.,,,
file_type,csv,,Text that provides a description of a particular kind of set of related records.,,,
file_type,dicom,,Text that provides a description of a particular kind of set of related records.,,,
file_type,docx,,Text that provides a description of a particular kind of set of related records.,,,
file_type,fasta,,Text that provides a description of a particular kind of set of related records.,,,
file_type,fastq,,Text that provides a description of a particular kind of set of related records.,,,
file_type,gvcf,,Text that provides a description of a particular kind of set of related records.,,,
file_type,html,,Text that provides a description of a particular kind of set of related records.,,,
file_type,idat,,Text that provides a description of a particular kind of set of related records.,,,
file_type,jpg,,Text that provides a description of a particular kind of set of related records.,,,
file_type,json,,Text that provides a description of a particular kind of set of related records.,,,
file_type,mrxs,,Text that provides a description of a particular kind of set of related records.,,,
file_type,maf,,Text that provides a description of a particular kind of set of related records.,,,
file_type,ndpi,,Text that provides a description of a particular kind of set of related records.,,,
file_type,nifti,,Text that provides a description of a particular kind of set of related records.,,,
file_type,pdf,,Text that provides a description of a particular kind of set of related records.,,,
file_type,ped,,Text that provides a description of a particular kind of set of related records.,,,
file_type,png,,Text that provides a description of a particular kind of set of related records.,,,
file_type,py,,Text that provides a description of a particular kind of set of related records.,,,
file_type,rda,,Text that provides a description of a particular kind of set of related records.,,,
file_type,rdata,,Text that provides a description of a particular kind of set of related records.,,,
file_type,rds,,Text that provides a description of a particular kind of set of related records.,,,
file_type,sas7bdat,,Text that provides a description of a particular kind of set of related records.,,,
file_type,scn,,Text that provides a description of a particular kind of set of related records.,,,
file_type,seg,,Text that provides a description of a particular kind of set of related records.,,,
file_type,svg,,Text that provides a description of a particular kind of set of related records.,,,
file_type,svs,,Text that provides a description of a particular kind of set of related records.,,,
file_type,tar,,Text that provides a description of a particular kind of set of related records.,,,
file_type,tbi,,Text that provides a description of a particular kind of set of related records.,,,
file_type,tsv,,Text that provides a description of a particular kind of set of related records.,,,
file_type,tif,,Text that provides a description of a particular kind of set of related records.,,,
file_type,tiff,,Text that provides a description of a particular kind of set of related records.,,,
file_type,txt,,Text that provides a description of a particular kind of set of related records.,,,
file_type,vcf,,Text that provides a description of a particular kind of set of related records.,,,
file_type,vcf_index,,Text that provides a description of a particular kind of set of related records.,,,
file_type,vms,,Text that provides a description of a particular kind of set of related records.,,,
file_type,vmu,,Text that provides a description of a particular kind of set of related records.,,,
file_type,xls,,Text that provides a description of a particular kind of set of related records.,,,
file_type,xlsx,,Text that provides a description of a particular kind of set of related records.,,,
file_type,xml,,Text that provides a description of a particular kind of set of related records.,,,
file_category,programmatic source code,,A freeform description of the file.,,,
file_category,transformation/mapping,,A freeform description of the file.,,,
file_category,output schema,,A freeform description of the file.,,,
file_category,input source data,,A freeform description of the file.,,,
anatomic_site,"C76.2 : Abdomen, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C15.2 : Abdominal esophagus,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C31.9 : Accessory sinus, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C72.4 : Acoustic nerve,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C74.9 : Adrenal gland, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C24.1 : Ampulla of Vater,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C21.1 : Anal canal,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C02.3 : Anterior 2/3 of tongue, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C04.0 : Anterior floor of mouth,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C38.1 : Anterior mediastinum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C10.1 : Anterior surface of epiglottis,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C67.3 : Anterior wall of bladder,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C11.3 : Anterior wall of nasopharynx,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C21.0 : Anus, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C75.5 : Aortic body and other paraganglia,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C18.1 : Appendix,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.4 : Arm, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C18.2 : Ascending colon,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C47.9 : Autonomic nervous system, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C50.6 : Axillary tail of breast,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.7 : Back, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C01.9 : Base of tongue, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C24.9 : Biliary tract, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C67.5 : Bladder neck,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C67.9 : Bladder, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C42.0 : Blood,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C25.1 : Body of pancreas,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C60.2 : Body of penis,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C16.2 : Body of stomach,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C42.1 : Bone marrow,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C40.9 : Bone of limb, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C41.9 : Bone, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C41 : BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C41.0 : Bones of skull and face and associated joints,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C02.1 : Border of tongue,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C71.7 : Brain stem,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C71.9 : Brain, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C10.4 : Branchial cleft,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C50.9 : Breast, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C57.1 : Broad ligament,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C06.0 : Buccal mucosa,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.3 : Buttock, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C16.0 : Cardia, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C75.4 : Carotid body,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C72.1 : Cauda equina,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C18.0 : Cecum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C72.9 : Central nervous system,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C50.1 : Central portion of breast,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C71.6 : Cerebellum, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C70.0 : Cerebral meninges,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C71.0 : Cerebrum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C15.0 : Cervical esophagus,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C53.9 : Cervix uteri,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C06.0 : Cheek mucosa,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.1 : Chest, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.1 : Chest wall, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C69.3 : Choroid,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C69.4 : Ciliary body,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C51.2 : Clitoris,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C21.2 : Cloacogenic zone,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C18.9 : Colon, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C00.6 : Commissure of lip,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C69.0 : Conjunctiva,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.4 : Connective, subcutaneous and other soft tissues of abdomen",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.0 : Connective, subcutaneous and other soft tissues of head, face, and neck",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.2 : Connective, subcutaneous and other soft tissues of lower limb and hip",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.5 : Connective, subcutaneous and other soft tissues of pelvis",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.3 : Connective, subcutaneous and other soft tissues of thorax",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.6 : Connective, subcutaneous and other soft tissues of trunk, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.1 : Connective, subcutaneous and other soft tissues of upper limb and shoulder",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C49.9 : Connective, subcutaneous and other soft tissues, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C69.1 : Cornea, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C54.9 : Corpus uteri,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C74.0 : Cortex of adrenal gland,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C71.9 : Cranial fossa, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C72.5 : Cranial nerve, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C75.2 : Craniopharyngeal duct,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C62.1 : Descended testis,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C18.6 : Descending colon,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C67.1 : Dome of bladder,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C02.0 : Dorsal surface of tongue, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C17.0 : Duodenum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C53.0 : Endocervix,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C75.9 : Endocrine gland, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C54.1 : Endometrium,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C63.0 : Epididymis,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C15.9 : Esophagus, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C31.1 : Ethmoid sinus,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C53.1 : Exocervix,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C44.2 : External ear,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C00.2 : External lip, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C00.1 : External lower lip,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C00.0 : External upper lip,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C24.0 : Extrahepatic bile duct,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C69.9 : Eye, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C44.1 : Eyelid,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C57.0 : Fallopian tube,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C57.9 : Female genital tract, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C04.9 : Floor of mouth, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.5 : Foot, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C71.1 : Frontal lobe,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C31.2 : Frontal sinus,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C16.1 : Fundus of stomach,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C54.3 : Fundus uteri,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C23.9 : Gallbladder,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C16.3 : Gastric antrum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C26.9 : Gastrointestinal tract, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C60.1 : Glans penis,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C32.0 : Glottis,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C16.6 : Greater curvature of stomach, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C03.9 : Gum, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.4 : Hand, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C05.0 : Hard palate,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C25.0 : Head of pancreas,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C76.0 : Head, face or neck, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C38.0 : Heart,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C38 : HEART, MEDIASTINUM, AND PLEURA",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C42 : HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C42.4 : Hematopoietic system, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C18.3 : Hepatic flexure of colon,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C13.1 : Hypopharyngeal aspect of aryepiglottic fold,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C13.9 : Hypopharynx, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C17.2 : Ileum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C39.9 : Ill-defined sites within respiratory system,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C26.0 : Intestinal tract, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C77.2 : Intra-abdominal lymph nodes,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C22.1 : Intrahepatic bile duct,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C77.1 : Intrathoracic lymph nodes,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C25.4 : Islets of Langerhans,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C54.0 : Isthmus uteri,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,C17.1 : Jejunum,,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
anatomic_site,"C64.9 : Kidney, NOS",,"The location within the body as captured in the topography label of the International Classification of Diseases for Oncology, 3rd Edition (ICD-O-3).",,,
